Emotion,Labels,ID_NO,,,,,,,,,,,,,,,,,,,,
Negative,from others,Tester,,,,,,,,,,,,,,,,,,,,
Negative,from others,6059,,,,,,,,,,,,,,,,,,,,
Negative,from others,6107,,,,,,,,,,,,,,,,,,,,
Negative,from others,6110,,,,,,,,,,,,,,,,,,,,
Negative,from others,6098,,,,,,,,,,,,,,,,,,,,
Negative,from others,,,,,,,,,,,,,,,,,,,,,
Negative,from others,,,,,,,,,,,,,,,,,,,,,
Negative,from others,Tester,,,,,,,,,,,,,,,,,,,,
Negative,from others,6107,,,,,,,,,,,,,,,,,,,,
Negative,from others,6107,,,,,,,,,,,,,,,,,,,,
Negative,from others,6019,,,,,,,,,,,,,,,,,,,,
Negative,from others,6025,,,,,,,,,,,,,,,,,,,,
Negative,from others,6007,,,,,,,,,,,,,,,,,,,,
Negative,from others,6025,,,,,,,,,,,,,,,,,,,,
Negative,from others,6025,,,,,,,,,,,,,,,,,,,,
Negative,from others,6017,,,,,,,,,,,,,,,,,,,,
Negative,from others,6031,,,,,,,,,,,,,,,,,,,,
Negative,from others,6027,,,,,,,,,,,,,,,,,,,,
Negative,from others,6025,,,,,,,,,,,,,,,,,,,,
Negative,from others,Tester,,,,,,,,,,,,,,,,,,,,
Negative,from others,6021,,,,,,,,,,,,,,,,,,,,
Negative,from others,6027,,,,,,,,,,,,,,,,,,,,
Negative,from others,6005,,,,,,,,,,,,,,,,,,,,
Negative,from others,6036,,,,,,,,,,,,,,,,,,,,
Negative,from others,,,,,,,,,,,,,,,,,,,,,
Negative,from others,6014,,,,,,,,,,,,,,,,,,,,
Negative,covid,,,,,,,,,,,,,,,,,,,,,
Negative,covid,6123,,,,,,,,,,,,,,,,,,,,
Negative,covid,6007,,,,,,,,,,,,,,,,,,,,
Negative,covid,6069,,,,,,,,,,,,,,,,,,,,
Negative,covid,Tester,,,,,,,,,,,,,,,,,,,,
Negative,covid,Tester,,,,,,,,,,,,,,,,,,,,
Negative,covid,6075,,,,,,,,,,,,,,,,,,,,
Negative,covid,6030,,,,,,,,,,,,,,,,,,,,
Negative,covid,6133,,,,,,,,,,,,,,,,,,,,
Negative,covid,6083,,,,,,,,,,,,,,,,,,,,
Negative,covid,6066,,,,,,,,,,,,,,,,,,,,
Negative,death,6074,,,,,,,,,,,,,,,,,,,,
Negative,death,6011,,,,,,,,,,,,,,,,,,,,
Negative,death,6059,,,,,,,,,,,,,,,,,,,,
Negative,,,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6132,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6034,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6114,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6005,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6065,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6072,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6005,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6016,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6052,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6005,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6027,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6005,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6138,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6018,,,,,,,,,,,,,,,,,,,,
Negative,other's health,tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,other's health,6017,,,,,,,,,,,,,,,,,,,,
Negative,other's health,Tester,,,,,,,,,,,,,,,,,,,,
Negative,,,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6121,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6078,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6078,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6121,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6105,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6099,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,Tester,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6105,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6064,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6034,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6116,,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,6068,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6099,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6001,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6053,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6041,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6020,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6078,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6005,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6104,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6034,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6014,,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,6020,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6047,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6090,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6066,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6090,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6082,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6005,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,Tester,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6011,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6006,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6091,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6004,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6026,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6007,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6063,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6090,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6044,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6074,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6095,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6107,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6031,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6074,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6107,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6091,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6016,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6045,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6016,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6004,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6070,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,6017,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6027,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6052,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6024,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6092,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6009,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6128,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6045,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6045,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6033,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6056,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6043,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6027,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6027,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6051,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6009,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6024,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6009,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6009,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6081,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6004,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6012,,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,6118,,,,,,,,,,,,,,,,,,,,
